Ref,Val,Package,PosX,PosY,Rot,Side
"LOGO1","Logo_Open_Hardware_Large","OSHW-Logo_11.4x12mm_SilkScreen",166.2430,-91.4400,180.0000,bottom
"TP2","TestPoint","TestPoint_Pad_D1.0mm",167.7924,-80.1624,0.0000,bottom
"TP3","TestPoint","TestPoint_Pad_D1.0mm",173.4820,-78.4860,0.0000,bottom
"TP4","TestPoint","TestPoint_Pad_D1.0mm",179.0700,-80.7720,0.0000,bottom
"TP5","TestPoint","TestPoint_Pad_D1.0mm",179.0700,-84.0740,0.0000,bottom
"TP6","TestPoint","TestPoint_Pad_D1.0mm",164.2872,-70.0532,0.0000,bottom
"TP8","TestPoint","TestPoint_Pad_D1.0mm",153.4922,-70.0278,0.0000,bottom
"TP9","TestPoint","TestPoint_Pad_D1.0mm",155.9560,-84.5820,0.0000,bottom
